Level 8, Oh 1.0e-02, Oha 1.0e-04, De 1.0e+01, Ec 2.5e-01
i dt t ke ymin
536 0.00151515 0.795455 0.0569907 0.490645
537 0.00151515 0.79697 0.0571809 0.490609
538 0.00151515 0.798485 0.0573714 0.490572
539 0.00151515 0.8 0.0575622 0.490536
540 0.00151515 0.801515 0.0577535 0.490499
541 0.00151515 0.80303 0.0579451 0.490462
542 0.00151515 0.804545 0.058137 0.490426
543 0.00151515 0.806061 0.0583293 0.490389
544 0.00151515 0.807576 0.058522 0.490352
545 0.00151515 0.809091 0.058715 0.490315
546 0.00151515 0.810606 0.0589084 0.490278
547 0.00151515 0.812121 0.0591022 0.490241
548 0.00151515 0.813636 0.0592963 0.490204
549 0.00151515 0.815152 0.0594908 0.490167
550 0.00151515 0.816667 0.0596856 0.49013
551 0.00151515 0.818182 0.0598808 0.490093
552 0.00151515 0.819697 0.0600764 0.490056
553 0.00151515 0.821212 0.0602723 0.490018
554 0.00151515 0.822727 0.0604685 0.489981
555 0.00151515 0.824242 0.0606651 0.489944
556 0.00151515 0.825758 0.0608621 0.489906
557 0.00151515 0.827273 0.0610595 0.489868
558 0.00151515 0.828788 0.0612571 0.489831
559 0.00151515 0.830303 0.0614552 0.489793
560 0.00151515 0.831818 0.0616536 0.489755
561 0.00151515 0.833333 0.0618523 0.489718
562 0.00151515 0.834848 0.0620514 0.48968
563 0.00151515 0.836364 0.0622508 0.489642
564 0.00151515 0.837879 0.0624506 0.489604
565 0.00151515 0.839394 0.0626508 0.489566
566 0.00151515 0.840909 0.0628513 0.489528
567 0.00151515 0.842424 0.0630522 0.48949
568 0.00151515 0.843939 0.0632535 0.489452
569 0.00151515 0.845455 0.0634551 0.489414
570 0.00151515 0.84697 0.0636571 0.489376
571 0.00151515 0.848485 0.0638594 0.489337
