Level 8, Oh 1.0e-02, Oha 1.0e-04, De 0.0e+00, Ec 0.0e+00
i dt t ke ymin
296 0.00151515 0.431818 0.022855 0.497168
297 0.00151515 0.433333 0.0229695 0.497149
298 0.00151515 0.434848 0.0230843 0.497129
299 0.00151515 0.436364 0.0231995 0.497109
300 0.00151515 0.437879 0.023315 0.497089
301 0.00151515 0.439394 0.0234309 0.497068
302 0.00151515 0.440909 0.0235471 0.497048
303 0.00151515 0.442424 0.0236636 0.497028
304 0.00151515 0.443939 0.0237804 0.497008
305 0.00151515 0.445455 0.0238976 0.496987
306 0.00151515 0.44697 0.0240151 0.496967
307 0.00151515 0.448485 0.024133 0.496946
308 0.00151515 0.45 0.0242513 0.496926
309 0.00151515 0.451515 0.02437 0.496905
310 0.00151515 0.45303 0.0244891 0.496884
311 0.00151515 0.454545 0.0246084 0.496863
312 0.00151515 0.456061 0.0247282 0.496843
313 0.00151515 0.457576 0.0248482 0.496822
314 0.00151515 0.459091 0.0249687 0.496801
315 0.00151515 0.460606 0.0250895 0.49678
316 0.00151515 0.462121 0.0252108 0.496758
317 0.00151515 0.463636 0.0253324 0.496737
318 0.00151515 0.465152 0.0254544 0.496716
319 0.00151515 0.466667 0.0255769 0.496695
320 0.00151515 0.468182 0.0256982 0.496673
321 0.00151515 0.469697 0.0258213 0.496652
322 0.00151515 0.471212 0.0259448 0.49663
323 0.00151515 0.472727 0.0260688 0.496609
324 0.00151515 0.474242 0.0261931 0.496587
325 0.00151515 0.475758 0.0263178 0.496565
326 0.00151515 0.477273 0.0264429 0.496543
327 0.00151515 0.478788 0.0265684 0.496522
328 0.00151515 0.480303 0.0266942 0.4965
329 0.00151515 0.481818 0.0268204 0.496478
330 0.00151515 0.483333 0.026947 0.496456
331 0.00151515 0.484848 0.027074 0.496433
332 0.00151515 0.486364 0.0272013 0.496411
333 0.00151515 0.487879 0.027329 0.496389
334 0.00151515 0.489394 0.027457 0.496367
335 0.00151515 0.490909 0.0275855 0.496344
336 0.00151515 0.492424 0.0277144 0.496322
337 0.00151515 0.493939 0.0278436 0.496299
338 0.00151515 0.495455 0.0279732 0.496277
339 0.00151515 0.49697 0.0281031 0.496254
340 0.00151515 0.498485 0.0282334 0.496231
341 0.00151515 0.5 0.0283641 0.496208
342 0.00151515 0.501515 0.0284952 0.496186
343 0.00151515 0.50303 0.0286267 0.496163
344 0.00151515 0.504545 0.0287586 0.49614
345 0.00151515 0.506061 0.0288909 0.496116
346 0.00151515 0.507576 0.0290236 0.496093
347 0.00151515 0.509091 0.0291567 0.49607
348 0.00151515 0.510606 0.0292901 0.496047
349 0.00151515 0.512121 0.029424 0.496023
350 0.00151515 0.513636 0.0295582 0.496
351 0.00151515 0.515152 0.0296929 0.495977
352 0.00151515 0.516667 0.0298279 0.495953
353 0.00151515 0.518182 0.0299634 0.495929
354 0.00151515 0.519697 0.0300993 0.495906
355 0.00151515 0.521212 0.0302356 0.495882
356 0.00151515 0.522727 0.0303722 0.495858
357 0.00151515 0.524242 0.0305093 0.495834
358 0.00151515 0.525758 0.0306467 0.49581
359 0.00151515 0.527273 0.0307846 0.495786
360 0.00151515 0.528788 0.0309228 0.495762
361 0.00151515 0.530303 0.0310614 0.495738
362 0.00151515 0.531818 0.0312004 0.495714
363 0.00151515 0.533333 0.0313398 0.49569
364 0.00151515 0.534848 0.0314796 0.495665
365 0.00151515 0.536364 0.0316198 0.495641
366 0.00151515 0.537879 0.0317603 0.495616
367 0.00151515 0.539394 0.0319012 0.495592
368 0.00151515 0.540909 0.0320425 0.495567
369 0.00151515 0.542424 0.0321842 0.495542
370 0.00151515 0.543939 0.0323262 0.495518
371 0.00151515 0.545455 0.0324687 0.495493
372 0.00151515 0.54697 0.0326116 0.495468
373 0.00151515 0.548485 0.0327549 0.495443
374 0.00151515 0.55 0.0328985 0.495418
375 0.00151515 0.551515 0.0330426 0.495393
376 0.00151515 0.55303 0.0331869 0.495368
377 0.00151515 0.554545 0.0333317 0.495343
378 0.00151515 0.556061 0.0334768 0.495317
379 0.00151515 0.557576 0.0336223 0.495292
380 0.00151515 0.559091 0.0337682 0.495267
381 0.00151515 0.560606 0.0339146 0.495241
382 0.00151515 0.562121 0.0340613 0.495216
383 0.00151515 0.563636 0.0342084 0.49519
384 0.00151515 0.565152 0.0343559 0.495164
385 0.00151515 0.566667 0.0345039 0.495138
386 0.00151515 0.568182 0.0346522 0.495113
387 0.00151515 0.569697 0.0348009 0.495087
388 0.00151515 0.571212 0.03495 0.495061
389 0.00151515 0.572727 0.0350995 0.495035
390 0.00151515 0.574242 0.0352495 0.495009
391 0.00151515 0.575758 0.0353998 0.494983
392 0.00151515 0.577273 0.0355505 0.494956
